"パケット","シーケンス","間隔 (ms)","ジッタ (ms)","Skew","帯域","マーカー","状態"
"127.0.0.1:6000 → 127.0.0.1:6000 (0xca110000)"
545,268,15.552999999999884,6.403489192140814,3.4859999999998763,80,"","OK"
547,269,15.85400000000027,6.262396117631996,7.631999999999607,81.6,"","OK"
549,270,31.372999999999593,6.581808860279971,-3.7409999999999854,80,"","OK"
551,271,15.868999999999687,6.428633306512492,0.3900000000003274,80,"","OK"
553,272,15.686000000000604,6.296468724855424,4.7039999999997235,81.6,"","OK"
556,273,30.917999999999665,6.585314429551938,-6.213999999999942,80,"","OK"
557,274,15.664999999999964,6.444669777704944,-1.8789999999999054,80,"","OK"
559,275,16.07800000000043,6.287002916598358,2.0429999999996653,80,"","OK"
561,276,15.17699999999968,6.195502734310981,6.8659999999999854,81.6,"","OK"
563,277,30.658000000000357,6.474408813416567,-3.792000000000371,80,"","OK"
565,278,15.425999999999476,6.355633262578064,0.7820000000001528,80,"","OK"
567,279,15.704999999999927,6.22684368366694,5.0770000000002256,81.6,"","OK"
570,280,29.921000000000276,6.457728453437773,-4.844000000000051,80,"","OK"
571,281,16.014000000000124,6.303245425097905,-0.8580000000001746,80,"","OK"
573,282,15.033000000000357,6.219730086029264,4.108999999999469,80,"","OK"
575,283,16.18499999999949,6.069434455652467,7.923999999999978,81.6,"","OK"
577,284,31.26299999999992,6.394032302174183,-3.338999999999942,80,"","OK"
579,285,16.220000000000255,6.23065528328828,0.44099999999980355,80,"","OK"
581,286,15.43499999999949,6.126551828082794,5.006000000000313,81.6,"","OK"
583,287,29.725000000000364,6.351454838827642,-4.719000000000051,80,"","OK"
585,288,15.050000000000182,6.263863911400904,0.23099999999976717,80,"","OK"
587,289,15.483000000000175,6.154684916938336,4.7479999999995925,81.6,"","OK"
589,290,30.5649999999996,6.430329609629665,-5.817000000000007,80,"","OK"
591,291,15.904999999999745,6.284371509027827,-1.7219999999997526,80,"","OK"
593,292,15.175000000000182,6.193160789713577,3.1030000000000655,80,"","OK"
595,293,15.395000000000437,6.093900740356451,7.707999999999629,81.6,"","OK"
597,294,30.978000000000065,6.399156944084178,-3.2700000000004366,80,"","OK"
599,295,15.826999999999316,6.260022135078959,0.9030000000002474,80,"","OK"
601,296,15.40100000000075,6.156208251636477,5.501999999999498,81.6,"","OK"
603,297,31.070999999999913,6.463382735909192,-5.569000000000415,80,"","OK"
605,298,15.556999999999789,6.337108814914881,-1.1260000000002037,80,"","OK"
608,299,14.963999999999942,6.255789513982704,3.9099999999998545,81.6,"","OK"
609,300,16.238999999999578,6.099865169358812,7.6710000000002765,81.6,"","OK"
611,301,29.77600000000075,6.329623596273933,-2.105000000000473,80,"","OK"
613,302,15.826999999999316,6.194834621506855,2.068000000000211,80,"","OK"
615,303,15.378000000000611,6.096532457662638,6.6899999999996,81.6,"","OK"
617,304,30.61999999999989,6.379249179058717,-3.930000000000291,80,"","OK"
619,305,15.751999999999498,6.246046105367578,0.318000000000211,80,"","OK"
621,306,15.952000000000226,6.10866822378209,4.3659999999999854,81.6,"","OK"
623,307,15.358000000000175,6.017001459795699,9.00799999999981,81.6,"","OK"
625,308,30.88299999999981,6.321126368558456,-1.875,80,"","OK"
627,309,15.753999999999905,6.191430970523559,2.3710000000000946,80,"","OK"
629,310,14.983000000000175,6.118029034865826,7.38799999999992,81.6,"","OK"
631,311,30.960000000000036,6.420652220186714,-3.5720000000001164,80,"","OK"
633,312,15.916000000000167,6.274611456425034,0.5119999999997162,80,"","OK"
635,313,14.957999999999629,6.1975732403984924,5.554000000000087,81.6,"","OK"
637,314,31.86999999999989,6.5520999128735795,-6.3159999999998035,80,"","OK"
639,315,15.969000000000051,6.394531168318977,-2.2849999999998545,80,"","OK"
641,316,15.860000000000582,6.253622970299005,1.8549999999995634,81.6,"","OK"
643,317,15.00500000000011,6.17495903465531,6.849999999999454,81.6,"","OK"
645,318,31.134000000000015,6.484899094989354,-4.28400000000056,80,"","OK"
647,319,15.677999999999884,6.349717901552526,0.03799999999955617,80,"","OK"
649,320,14.781999999999243,6.278985532705541,5.256000000000313,81.6,"","OK"
651,321,30.855000000000473,6.564986436911473,-5.59900000000016,80,"","OK"
653,322,15.194000000000415,6.455049784604481,-0.7930000000005748,80,"","OK"
655,323,15.469999999999345,6.3347341730667415,3.73700000000008,81.6,"","OK"
657,324,15.855999999999767,6.197813287250085,7.881000000000313,81.6,"","OK"
659,325,31.832000000000335,6.549949956796976,-3.951000000000022,80,"","OK"
661,326,15.958999999999833,6.393140584497175,0.09000000000014552,80,"","OK"
663,327,14.944000000000415,6.309569297966076,5.145999999999731,81.6,"","OK"
665,328,30.465000000000146,6.569283716843205,-5.319000000000415,80,"","OK"
667,329,15.72400000000016,6.425953484540495,-1.0430000000005748,80,"","OK"
669,330,14.930999999999585,6.341143891756739,4.02599999999984,81.6,"","OK"
671,331,16.192000000000007,6.182822398521942,7.833999999999833,81.6,"","OK"
673,332,31.082000000000335,6.4890209986143415,-3.248000000000502,80,"","OK"
675,333,15.912999999999556,6.338894686200973,0.8389999999999418,80,"","OK"
677,334,16.03899999999976,6.190276268313427,4.800000000000182,81.6,"","OK"
680,335,30.661000000000058,6.469696501543842,-5.860999999999876,80,"","OK"
681,336,15.180000000000291,6.366590470197334,-1.0410000000001673,80,"","OK"
683,337,15.351999999999862,6.259178565810009,3.606999999999971,81.6,"","OK"
685,338,15.295000000000073,6.162042405446879,8.311999999999898,81.6,"","OK"
687,339,31.176000000000386,6.475414755106473,-2.8640000000004875,80,"","OK"
689,340,15.649999999999636,6.3425763329123415,1.4859999999998763,81.6,"","OK"
691,341,15.890000000000327,6.2030403121052995,5.595999999999549,81.6,"","OK"
693,342,31.96599999999944,6.563225292598683,-6.369999999999891,80,"","OK"
695,343,15.902000000000044,6.4091487118112624,-2.2719999999999345,80,"","OK"
697,344,15.952000000000226,6.261576917323044,1.77599999999984,81.6,"","OK"
699,345,15.028999999999542,6.180915859990383,6.747000000000298,81.6,"","OK"
701,346,31.493000000000393,6.5129211187410085,-4.746000000000095,80,"","OK"
703,347,14.725999999999658,6.435488548819717,0.5280000000002474,81.6,"","OK"
705,348,15.69000000000051,6.302645514518453,4.837999999999738,81.6,"","OK"
707,349,30.52599999999984,6.56660516986104,-5.688000000000102,80,"","OK"
709,350,15.475999999999658,6.438942346744747,-1.16399999999976,80,"","OK"
711,351,15.320999999999913,6.328945950073205,3.5150000000003274,81.6,"","OK"
713,352,15.6200000000008,6.20713682819358,7.894999999999527,81.6,"","OK"
715,353,30.682999999999993,6.48687827643148,-2.7880000000004657,80,"","OK"
717,354,15.936999999999898,6.335385884154519,1.2749999999996362,81.6,"","OK"
719,355,14.891999999999825,6.2586742663948725,6.382999999999811,81.6,"","OK"
721,356,31.99200000000019,6.6170071247452045,-5.609000000000378,80,"","OK"
723,357,16.099999999999454,6.447194179448664,-1.7089999999998327,80,"","OK"
